Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
2009-01-01 00:10:00.000 +0200,996.52,-8.02,265.4,-8.9,93.3,3.33,3.11,0.22,1.94,3.12,1307.75,1.03,1.75,152.3
2009-01-01 00:20:00.000 +0200,996.57,-8.41,265.01,-9.28,93.4,3.23,3.02,0.21,1.89,3.03,1309.8,0.72,1.5,136.1
2009-01-01 00:30:00.000 +0200,996.53,-8.51,264.91,-9.31,93.9,3.21,3.01,0.2,1.88,3.02,1310.24,0.19,0.63,171.6
2009-01-01 00:40:00.000 +0200,996.51,-8.31,265.12,-9.07,94.2,3.26,3.07,0.19,1.92,3.08,1309.19,0.34,0.5,198.0
2009-01-01 00:50:00.000 +0200,996.51,-8.27,265.15,-9.04,94.1,3.27,3.08,0.19,1.92,3.09,1309.0,0.32,0.63,214.3
2009-01-01 01:00:00.000 +0200,996.5,-8.05,265.38,-8.78,94.4,3.33,3.14,0.19,1.96,3.15,1307.86,0.21,0.63,192.7
2009-01-01 01:10:00.000 +0200,996.5,-7.62,265.81,-8.3,94.8,3.44,3.26,0.18,2.04,3.27,1305.68,0.18,0.63,166.5
2009-01-01 01:20:00.000 +0200,996.5,-7.62,265.81,-8.36,94.4,3.44,3.25,0.19,2.03,3.26,1305.69,0.19,0.5,118.6
2009-01-01 01:30:00.000 +0200,996.5,-7.91,265.52,-8.73,93.8,3.36,3.15,0.21,1.97,3.16,1307.17,0.28,0.75,188.5
2009-01-01 01:40:00.000 +0200,996.53,-8.43,264.99,-9.34,93.1,3.23,3.0,0.22,1.88,3.02,1309.85,0.59,0.88,185.0
2009-01-01 01:50:00.000 +0200,996.62,-8.76,264.66,-9.66,93.1,3.14,2.93,0.22,1.83,2.94,1311.64,0.45,0.88,183.2
2009-01-01 02:00:00.000 +0200,996.62,-8.88,264.54,-9.77,93.2,3.12,2.9,0.21,1.81,2.91,1312.25,0.25,0.63,190.3
2009-01-01 02:10:00.000 +0200,996.63,-8.85,264.57,-9.7,93.5,3.12,2.92,0.2,1.82,2.93,1312.11,0.16,0.5,158.3
2009-01-01 02:20:00.000 +0200,996.74,-8.83,264.58,-9.68,93.5,3.13,2.92,0.2,1.83,2.93,1312.15,0.36,0.63,184.8
