Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
tft,weatherHistory.csv,Temperature (C),24,96,24,42,0,2015-05-09T03:00:00,2015-05-10T02:00:00,6.5228,2.0201,13.4936,56.52
tft,weatherHistory.csv,Temperature (C),24,96,24,42,1,2015-05-10T03:00:00,2015-05-11T02:00:00,12.1108,2.5992,18.5002,60.87
tft,weatherHistory.csv,Temperature (C),24,96,24,42,2,2015-05-11T03:00:00,2015-05-12T02:00:00,10.2325,2.567,20.3257,52.17
tft,weatherHistory.csv,Temperature (C),24,96,24,42,3,2015-05-12T03:00:00,2015-05-13T02:00:00,11.1201,2.9828,19.0486,47.83
tft,weatherHistory.csv,Temperature (C),24,96,24,42,4,2015-05-13T03:00:00,2015-05-14T02:00:00,7.004,2.2712,11.7019,56.52
tft,weatherHistory.csv,Temperature (C),24,96,24,42,5,2015-05-14T03:00:00,2015-05-15T02:00:00,8.7452,2.4223,14.9904,56.52
tft,weatherHistory.csv,Temperature (C),24,96,24,42,6,2015-05-15T03:00:00,2015-05-16T02:00:00,13.6476,3.2223,23.22,47.83
tft,weatherHistory.csv,Temperature (C),24,96,24,42,7,2015-05-16T03:00:00,2015-05-17T02:00:00,6.1752,1.9962,14.5527,43.48
tft,weatherHistory.csv,Temperature (C),24,96,24,42,8,2015-05-17T03:00:00,2015-05-18T02:00:00,10.7898,2.6791,18.0554,52.17
tft,weatherHistory.csv,Temperature (C),24,96,24,42,9,2015-05-18T03:00:00,2015-05-19T02:00:00,6.0411,1.902,11.6318,47.83
tft,weatherHistory.csv,Temperature (C),24,96,24,42,10,2015-05-19T03:00:00,2015-05-20T02:00:00,21.8783,4.0838,18.1504,65.22
tft,weatherHistory.csv,Temperature (C),24,96,24,42,11,2015-05-20T03:00:00,2015-05-21T02:00:00,12.7856,3.119,14.3768,56.52
tft,weatherHistory.csv,Temperature (C),24,96,24,42,12,2015-05-21T03:00:00,2015-05-22T02:00:00,19.7393,3.5857,23.4248,43.48
tft,weatherHistory.csv,Temperature (C),24,96,24,42,13,2015-05-22T03:00:00,2015-05-23T02:00:00,7.374,2.2474,14.574,60.87
tft,weatherHistory.csv,Temperature (C),24,96,24,42,14,2015-05-23T03:00:00,2015-05-24T02:00:00,9.3794,2.587,17.0733,56.52
tft,weatherHistory.csv,Temperature (C),24,96,24,42,15,2015-05-24T03:00:00,2015-05-25T02:00:00,10.284,2.7055,15.593,52.17
tft,weatherHistory.csv,Temperature (C),24,96,24,42,16,2015-05-25T03:00:00,2015-05-26T02:00:00,8.3707,2.4739,16.6555,39.13
tft,weatherHistory.csv,Temperature (C),24,96,24,42,17,2015-05-26T03:00:00,2015-05-27T02:00:00,5.7786,2.1068,13.6269,43.48
tft,weatherHistory.csv,Temperature (C),24,96,24,42,18,2015-05-27T03:00:00,2015-05-28T02:00:00,13.5148,2.9813,26.1988,56.52
tft,weatherHistory.csv,Temperature (C),24,96,24,42,19,2015-05-28T03:00:00,2015-05-29T02:00:00,11.1675,2.4682,27.1876,52.17
tft,weatherHistory.csv,Temperature (C),24,96,24,42,20,2015-05-29T03:00:00,2015-05-30T02:00:00,10.0313,2.6958,19.9136,52.17
tft,weatherHistory.csv,Temperature (C),24,96,24,42,21,2015-05-30T03:00:00,2015-05-31T02:00:00,5.9501,1.9903,12.4428,47.83
tft,weatherHistory.csv,Temperature (C),24,96,24,42,22,2015-05-31T03:00:00,2015-06-01T02:00:00,8.0205,2.333,13.6176,56.52
tft,weatherHistory.csv,Temperature (C),24,96,24,42,23,2015-06-01T03:00:00,2015-06-02T02:00:00,7.0232,2.3608,11.9626,69.57
tft,weatherHistory.csv,Temperature (C),24,96,24,42,24,2015-06-02T03:00:00,2015-06-03T02:00:00,7.0977,2.0548,10.731,47.83
tft,weatherHistory.csv,Temperature (C),24,96,24,42,25,2015-06-03T03:00:00,2015-06-04T02:00:00,3.5151,1.5649,7.645,69.57
