id,dataset,target,date,horizon,results_file,status,started_at
1,data/weatherHistory.csv,Temperature (C),Formatted Date,24,Pipeline\outputs\1\results.csv,failed,2026-04-06 16:42:21
2,data/weatherHistory.csv,Temperature (C),Formatted Date,48,Pipeline\outputs\2\results.csv,failed,2026-04-06 16:42:21
3,data/ETTh1.csv,OT,date,24,Pipeline\outputs\3\results.csv,failed,2026-04-06 16:42:21
4,data/ETTh1.csv,OT,date,48,Pipeline\outputs\4\results.csv,failed,2026-04-06 16:42:21
5,data/ETTh1.csv,OT,date,96,Pipeline\outputs\5\results.csv,failed,2026-04-06 16:42:21
6,data/weatherHistory.csv,Temperature (C),Formatted Date,24,Pipeline\outputs\6\results.csv,failed,2026-04-06 16:45:04
7,data/weatherHistory.csv,Temperature (C),Formatted Date,48,Pipeline\outputs\7\results.csv,failed,2026-04-06 16:45:04
8,data/ETTh1.csv,OT,date,24,Pipeline\outputs\8\results.csv,failed,2026-04-06 16:45:04
9,data/ETTh1.csv,OT,date,48,Pipeline\outputs\9\results.csv,failed,2026-04-06 16:45:04
10,data/ETTh1.csv,OT,date,96,Pipeline\outputs\10\results.csv,failed,2026-04-06 16:45:04
11,data/weatherHistory.csv,Temperature (C),Formatted Date,24,Pipeline\outputs\11\results.csv,failed,2026-04-06 16:45:07
12,data/weatherHistory.csv,Temperature (C),Formatted Date,48,Pipeline\outputs\12\results.csv,failed,2026-04-06 16:45:07
13,data/ETTh1.csv,OT,date,24,Pipeline\outputs\13\results.csv,failed,2026-04-06 16:45:07
14,data/ETTh1.csv,OT,date,48,Pipeline\outputs\14\results.csv,failed,2026-04-06 16:45:07
15,data/ETTh1.csv,OT,date,96,Pipeline\outputs\15\results.csv,failed,2026-04-06 16:45:07
