id,dataset,target,date,horizon,results_file,status,started_at
1,data/weatherHistory.csv,Temperature (C),Formatted Date,24,Pipeline/outputs/1/results.csv,success,2026-03-30 08:13:20
2,data/weatherHistory.csv,Temperature (C),Formatted Date,48,Pipeline/outputs/2/results.csv,success,2026-03-30 08:52:04
3,data/ETTh1.csv,OT,date,24,Pipeline/outputs/3/results.csv,success,2026-03-30 09:36:29
4,data/ETTh1.csv,OT,date,48,Pipeline/outputs/4/results.csv,success,2026-03-30 09:49:02
5,data/ETTh1.csv,OT,date,96,Pipeline/outputs/5/results.csv,success,2026-03-30 10:04:35
6,data/weatherHistory.csv,Temperature (C),Formatted Date,24,Pipeline/outputs/6/results.csv,failed,2026-04-05 21:15:12
7,data/weatherHistory.csv,Temperature (C),Formatted Date,48,Pipeline/outputs/7/results.csv,failed,2026-04-05 21:15:16
8,data/ETTh1.csv,OT,date,24,Pipeline/outputs/8/results.csv,running,2026-04-05 21:15:18
9,data/weatherHistory.csv,Temperature (C),Formatted Date,24,Pipeline/outputs/9/results.csv,failed,2026-04-05 21:16:12
10,data/weatherHistory.csv,Temperature (C),Formatted Date,48,Pipeline/outputs/10/results.csv,running,2026-04-05 21:16:16
11,data/weatherHistory.csv,Temperature (C),Formatted Date,24,Pipeline/outputs/11/results.csv,failed,2026-04-05 21:18:14
12,data/weatherHistory.csv,Temperature (C),Formatted Date,48,Pipeline/outputs/12/results.csv,running,2026-04-05 21:18:17
13,data/weatherHistory.csv,Temperature (C),Formatted Date,24,Pipeline/outputs/13/results.csv,failed,2026-04-05 21:18:41
14,data/weatherHistory.csv,Temperature (C),Formatted Date,48,Pipeline/outputs/14/results.csv,running,2026-04-05 21:51:39
15,data/weatherHistory.csv,Temperature (C),Formatted Date,24,Pipeline/outputs/15/results.csv,failed,2026-04-05 22:17:12
16,data/weatherHistory.csv,Temperature (C),Formatted Date,48,Pipeline/outputs/16/results.csv,failed,2026-04-05 22:52:03
17,data/ETTh1.csv,OT,date,24,Pipeline/outputs/17/results.csv,failed,2026-04-05 23:30:40
18,data/ETTh1.csv,OT,date,48,Pipeline/outputs/18/results.csv,failed,2026-04-05 23:34:46
19,data/ETTh1.csv,OT,date,96,Pipeline/outputs/19/results.csv,failed,2026-04-05 23:37:23
20,data/weatherHistory.csv,Temperature (C),Formatted Date,24,Pipeline/outputs/20/results.csv,success,2026-04-06 10:42:08
21,data/weatherHistory.csv,Temperature (C),Formatted Date,48,Pipeline/outputs/21/results.csv,success,2026-04-06 10:51:21
22,data/ETTh1.csv,OT,date,24,Pipeline/outputs/22/results.csv,success,2026-04-06 11:01:37
23,data/ETTh1.csv,OT,date,48,Pipeline/outputs/23/results.csv,success,2026-04-06 11:02:26
24,data/ETTh1.csv,OT,date,96,Pipeline/outputs/24/results.csv,success,2026-04-06 11:03:16
