Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
tsmixer,TSLA.csv,Close,24,72,24,1197865097,0,2024-05-06T01:00:00+00:00,2024-05-07T00:00:00+00:00,83.167,8.6138,4.9227,39.13
tsmixer,TSLA.csv,Close,24,72,24,1197865097,1,2024-06-10T01:00:00+00:00,2024-06-11T00:00:00+00:00,2519.0914,38.6099,16.2375,56.52
tsmixer,TSLA.csv,Close,24,72,24,1197865097,2,2024-07-16T01:00:00+00:00,2024-07-17T00:00:00+00:00,1608.053,35.9046,17.1687,34.78
tsmixer,TSLA.csv,Close,24,72,24,1197865097,3,2024-08-19T01:00:00+00:00,2024-08-20T00:00:00+00:00,130.8006,9.3862,4.2075,26.09
tsmixer,TSLA.csv,Close,24,72,24,1197865097,4,2024-09-23T01:00:00+00:00,2024-09-24T00:00:00+00:00,415.4842,16.6548,7.2979,56.52
tsmixer,TSLA.csv,Close,24,72,24,1197865097,5,2024-10-25T01:00:00+00:00,2024-10-26T00:00:00+00:00,3457.0085,50.8408,15.5574,39.13
tsmixer,TSLA.csv,Close,24,72,24,1197865097,6,2024-11-29T01:00:00+00:00,2024-11-30T00:00:00+00:00,6308.4104,71.5031,16.6833,52.17
tsmixer,TSLA.csv,Close,24,72,24,1197865097,7,2025-01-06T01:00:00+00:00,2025-01-07T00:00:00+00:00,809.0204,21.0899,5.6483,30.43
tsmixer,TSLA.csv,Close,24,72,24,1197865097,8,2025-02-11T01:00:00+00:00,2025-02-12T00:00:00+00:00,4738.0182,57.2692,22.2957,43.48
tsmixer,TSLA.csv,Close,24,72,24,1197865097,9,2025-03-18T01:00:00+00:00,2025-03-19T00:00:00+00:00,871.3014,23.9201,9.003,47.83
tsmixer,TSLA.csv,Close,24,72,24,1197865097,10,2025-04-22T01:00:00+00:00,2025-04-23T00:00:00+00:00,6492.2665,73.3489,22.9133,39.13
tsmixer,TSLA.csv,Close,24,72,24,1197865097,11,2025-05-27T01:00:00+00:00,2025-05-28T00:00:00+00:00,1576.7461,35.5599,11.2213,60.87
tsmixer,TSLA.csv,Close,24,72,24,1197865097,12,2025-07-01T01:00:00+00:00,2025-07-02T00:00:00+00:00,172.2651,11.0589,3.4625,52.17
tsmixer,TSLA.csv,Close,24,72,24,1197865097,13,2025-08-05T01:00:00+00:00,2025-08-06T00:00:00+00:00,862.7436,27.7493,8.1682,43.48
tsmixer,TSLA.csv,Close,24,72,24,1197865097,14,2025-09-09T01:00:00+00:00,2025-09-10T00:00:00+00:00,6737.9126,78.4111,18.1456,52.17
tsmixer,TSLA.csv,Close,24,72,24,1197865097,15,2025-10-13T01:00:00+00:00,2025-10-14T00:00:00+00:00,315.284,14.2488,3.2122,39.13
tsmixer,TSLA.csv,Close,24,72,24,1197865097,16,2025-11-14T01:00:00+00:00,2025-11-15T00:00:00+00:00,1346.8603,30.7773,6.7634,43.48
