Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
tft,JPM.csv,Close,24,72,24,708475939,0,2024-05-07T00:00:00,2024-06-07T00:00:00,2387.0398,48.5782,25.4305,34.78
tft,JPM.csv,Close,24,72,24,708475939,1,2024-06-11T00:00:00,2024-07-12T00:00:00,2706.5579,51.4712,26.4914,47.83
tft,JPM.csv,Close,24,72,24,708475939,2,2024-07-17T00:00:00,2024-08-19T00:00:00,3504.2576,58.848,29.2378,69.57
tft,JPM.csv,Close,24,72,24,708475939,3,2024-08-20T00:00:00,2024-09-20T00:00:00,4209.5299,64.4556,31.1656,43.48
tft,JPM.csv,Close,24,72,24,708475939,4,2024-09-24T00:00:00,2024-10-25T00:00:00,4617.1273,67.4455,32.1486,47.83
tft,JPM.csv,Close,24,72,24,708475939,5,2024-10-28T00:00:00,2024-11-28T00:00:00,8035.0683,88.9664,38.4439,52.17
tft,JPM.csv,Close,24,72,24,708475939,6,2024-12-02T00:00:00,2025-01-02T00:00:00,8588.5247,92.5261,39.5525,60.87
tft,JPM.csv,Close,24,72,24,708475939,7,2025-01-07T00:00:00,2025-02-07T00:00:00,13288.0148,114.5454,44.784,39.13
tft,JPM.csv,Close,24,72,24,708475939,8,2025-02-12T00:00:00,2025-03-17T00:00:00,11946.4016,108.197,43.5547,65.22
tft,JPM.csv,Close,24,72,24,708475939,9,2025-03-19T00:00:00,2025-04-21T00:00:00,8667.0368,92.5215,40.0526,52.17
tft,JPM.csv,Close,24,72,24,708475939,10,2025-04-23T00:00:00,2025-05-26T00:00:00,12382.5397,110.6673,44.1467,39.13
tft,JPM.csv,Close,24,72,24,708475939,11,2025-05-28T00:00:00,2025-06-30T00:00:00,16460.9723,127.7501,47.7146,65.22
tft,JPM.csv,Close,24,72,24,708475939,12,2025-07-02T00:00:00,2025-08-04T00:00:00,22495.8286,149.699,52.0287,43.48
tft,JPM.csv,Close,24,72,24,708475939,13,2025-08-06T00:00:00,2025-09-08T00:00:00,25221.6949,158.2653,54.4649,43.48
tft,JPM.csv,Close,24,72,24,708475939,14,2025-09-10T00:00:00,2025-10-13T00:00:00,31511.641,177.0653,57.9277,69.57
tft,JPM.csv,Close,24,72,24,708475939,15,2025-10-14T00:00:00,2025-11-14T00:00:00,31727.5293,177.1087,58.2882,60.87
tft,JPM.csv,Close,24,72,24,708475939,16,2025-11-17T00:00:00,2025-12-18T00:00:00,33323.2344,181.4154,59.116,52.17
