Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
deepAR,SPY.csv,Close,24,72,24,1985651307,0,2024-05-06T01:00:00+00:00,2024-05-07T00:00:00+00:00,11017.7743,104.8149,20.3539,56.52
deepAR,SPY.csv,Close,24,72,24,1985651307,1,2024-06-10T01:00:00+00:00,2024-06-11T00:00:00+00:00,15575.7753,124.512,23.1376,47.83
deepAR,SPY.csv,Close,24,72,24,1985651307,2,2024-07-16T01:00:00+00:00,2024-07-17T00:00:00+00:00,13061.7609,113.6834,21.3727,52.17
deepAR,SPY.csv,Close,24,72,24,1985651307,3,2024-08-19T01:00:00+00:00,2024-08-20T00:00:00+00:00,16871.5591,129.6386,23.6869,39.13
deepAR,SPY.csv,Close,24,72,24,1985651307,4,2024-09-23T01:00:00+00:00,2024-09-24T00:00:00+00:00,21711.8696,147.1513,25.9889,60.87
deepAR,SPY.csv,Close,24,72,24,1985651307,5,2024-10-25T01:00:00+00:00,2024-10-26T00:00:00+00:00,25970.5548,160.75,27.7428,34.78
deepAR,SPY.csv,Close,24,72,24,1985651307,6,2024-11-29T01:00:00+00:00,2024-11-30T00:00:00+00:00,28295.2252,168.0855,28.5366,39.13
deepAR,SPY.csv,Close,24,72,24,1985651307,7,2025-01-06T01:00:00+00:00,2025-01-07T00:00:00+00:00,28603.6587,168.8639,28.6067,52.17
deepAR,SPY.csv,Close,24,72,24,1985651307,8,2025-02-11T01:00:00+00:00,2025-02-12T00:00:00+00:00,24093.627,154.1709,26.677,73.91
deepAR,SPY.csv,Close,24,72,24,1985651307,9,2025-03-18T01:00:00+00:00,2025-03-19T00:00:00+00:00,14751.5628,119.4653,22.1062,34.78
deepAR,SPY.csv,Close,24,72,24,1985651307,10,2025-04-22T01:00:00+00:00,2025-04-23T00:00:00+00:00,23457.6141,152.1835,26.9055,34.78
deepAR,SPY.csv,Close,24,72,24,1985651307,11,2025-05-27T01:00:00+00:00,2025-05-28T00:00:00+00:00,29998.0918,172.8719,29.0601,56.52
deepAR,SPY.csv,Close,24,72,24,1985651307,12,2025-07-01T01:00:00+00:00,2025-07-02T00:00:00+00:00,39809.7252,199.3666,32.013,43.48
deepAR,SPY.csv,Close,24,72,24,1985651307,13,2025-08-05T01:00:00+00:00,2025-08-06T00:00:00+00:00,45164.1764,212.388,33.3235,65.22
deepAR,SPY.csv,Close,24,72,24,1985651307,14,2025-09-09T01:00:00+00:00,2025-09-10T00:00:00+00:00,54258.5266,232.7524,35.3041,39.13
deepAR,SPY.csv,Close,24,72,24,1985651307,15,2025-10-13T01:00:00+00:00,2025-10-14T00:00:00+00:00,59288.1948,243.2976,36.2348,47.83
deepAR,SPY.csv,Close,24,72,24,1985651307,16,2025-11-14T01:00:00+00:00,2025-11-15T00:00:00+00:00,61266.5278,247.1986,36.7292,56.52
