Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
dlinear,KO.csv,Close,24,72,24,1513724254,0,2024-05-07T00:00:00,2024-06-07T00:00:00,2.3496,1.3284,2.2228,65.22
dlinear,KO.csv,Close,24,72,24,1513724254,1,2024-06-11T00:00:00,2024-07-12T00:00:00,0.4868,0.583,0.971,34.78
dlinear,KO.csv,Close,24,72,24,1513724254,2,2024-07-17T00:00:00,2024-08-19T00:00:00,12.7997,3.324,5.1461,56.52
dlinear,KO.csv,Close,24,72,24,1513724254,3,2024-08-20T00:00:00,2024-09-20T00:00:00,12.8704,3.4114,4.9988,43.48
dlinear,KO.csv,Close,24,72,24,1513724254,4,2024-09-24T00:00:00,2024-10-25T00:00:00,1.8656,0.9609,1.4584,43.48
dlinear,KO.csv,Close,24,72,24,1513724254,5,2024-10-28T00:00:00,2024-11-28T00:00:00,11.0436,3.0901,5.0781,47.83
dlinear,KO.csv,Close,24,72,24,1513724254,6,2024-12-02T00:00:00,2025-01-02T00:00:00,5.755,2.2609,3.756,34.78
dlinear,KO.csv,Close,24,72,24,1513724254,7,2025-01-07T00:00:00,2025-02-07T00:00:00,1.8943,0.9251,1.4965,56.52
dlinear,KO.csv,Close,24,72,24,1513724254,8,2025-02-12T00:00:00,2025-03-17T00:00:00,23.733,4.7942,7.0467,43.48
dlinear,KO.csv,Close,24,72,24,1513724254,9,2025-03-19T00:00:00,2025-04-21T00:00:00,6.8212,2.1146,3.0269,52.17
dlinear,KO.csv,Close,24,72,24,1513724254,10,2025-04-23T00:00:00,2025-05-26T00:00:00,1.6361,1.0009,1.4541,47.83
dlinear,KO.csv,Close,24,72,24,1513724254,11,2025-05-28T00:00:00,2025-06-30T00:00:00,0.6104,0.6235,0.9078,73.91
dlinear,KO.csv,Close,24,72,24,1513724254,12,2025-07-02T00:00:00,2025-08-04T00:00:00,3.6966,1.7431,2.5744,56.52
dlinear,KO.csv,Close,24,72,24,1513724254,13,2025-08-06T00:00:00,2025-09-08T00:00:00,1.2585,0.9555,1.4011,73.91
dlinear,KO.csv,Close,24,72,24,1513724254,14,2025-09-10T00:00:00,2025-10-13T00:00:00,1.1621,0.9616,1.4698,47.83
dlinear,KO.csv,Close,24,72,24,1513724254,15,2025-10-14T00:00:00,2025-11-14T00:00:00,8.3247,2.607,3.7712,56.52
dlinear,KO.csv,Close,24,72,24,1513724254,16,2025-11-17T00:00:00,2025-12-18T00:00:00,1.1849,0.8334,1.1748,34.78
