Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
nbeats,SPY.csv,Close,24,72,24,1146683402,0,2024-05-07T00:00:00,2024-06-07T00:00:00,2584.5358,46.4488,9.0028,39.13
nbeats,SPY.csv,Close,24,72,24,1146683402,1,2024-06-11T00:00:00,2024-07-12T00:00:00,3972.8365,56.3141,10.4271,43.48
nbeats,SPY.csv,Close,24,72,24,1146683402,2,2024-07-17T00:00:00,2024-08-19T00:00:00,2167.4699,38.6291,7.2683,39.13
nbeats,SPY.csv,Close,24,72,24,1146683402,3,2024-08-20T00:00:00,2024-09-20T00:00:00,3468.1437,49.9482,9.1079,39.13
nbeats,SPY.csv,Close,24,72,24,1146683402,4,2024-09-24T00:00:00,2024-10-25T00:00:00,5280.2638,62.9192,11.09,73.91
nbeats,SPY.csv,Close,24,72,24,1146683402,5,2024-10-28T00:00:00,2024-11-28T00:00:00,6119.8511,66.2106,11.3928,43.48
nbeats,SPY.csv,Close,24,72,24,1146683402,6,2024-12-02T00:00:00,2025-01-02T00:00:00,6155.2668,65.4826,11.1166,52.17
nbeats,SPY.csv,Close,24,72,24,1146683402,7,2025-01-07T00:00:00,2025-02-07T00:00:00,6430.5512,65.2283,11.0144,26.09
nbeats,SPY.csv,Close,24,72,24,1146683402,8,2025-02-12T00:00:00,2025-03-17T00:00:00,4256.5678,51.6818,8.9721,47.83
nbeats,SPY.csv,Close,24,72,24,1146683402,9,2025-03-19T00:00:00,2025-04-21T00:00:00,3089.6114,44.0285,8.2448,56.52
nbeats,SPY.csv,Close,24,72,24,1146683402,10,2025-04-23T00:00:00,2025-05-26T00:00:00,6711.7298,69.6177,12.2039,56.52
nbeats,SPY.csv,Close,24,72,24,1146683402,11,2025-05-28T00:00:00,2025-06-30T00:00:00,9866.0447,89.0361,14.9291,43.48
nbeats,SPY.csv,Close,24,72,24,1146683402,12,2025-07-02T00:00:00,2025-08-04T00:00:00,14803.048,112.9057,18.1021,47.83
nbeats,SPY.csv,Close,24,72,24,1146683402,13,2025-08-06T00:00:00,2025-09-08T00:00:00,14166.5462,106.082,16.6262,39.13
nbeats,SPY.csv,Close,24,72,24,1146683402,14,2025-09-10T00:00:00,2025-10-13T00:00:00,17792.2927,117.3899,17.7601,34.78
nbeats,SPY.csv,Close,24,72,24,1146683402,15,2025-10-14T00:00:00,2025-11-14T00:00:00,19250.7458,120.6612,17.934,52.17
nbeats,SPY.csv,Close,24,72,24,1146683402,16,2025-11-17T00:00:00,2025-12-18T00:00:00,18507.8169,115.3571,17.1102,73.91
