dirs,Model,Train Time (s)_mean,Train Time (s)_std,Epochs Trained_mean,Epochs Trained_std,MSE_mean,MSE_std,MAE_mean,MAE_std,MAPE (%)_mean,MAPE (%)_std,MDA (%)_mean,MDA (%)_std
"(1, 6, 11)",deepAR,87.1733,16.1873,13.0000,2.6458,11267.9506,2483.2309,102.6101,11.8568,44.7408,5.2537,47.5867,0.6192
"(1, 6, 11)",dlinear,7.6833,0.1115,13.0000,0.0000,203.2479,2.0328,10.6807,0.0742,4.7067,0.0309,50.0400,2.7045
"(1, 6, 11)",nbeats,29.9933,0.5400,27.6667,0.5774,887.2460,487.5414,23.8658,8.0247,10.2720,3.4499,50.9433,2.0456
"(1, 6, 11)",tft,42.8900,15.6933,21.0000,8.7178,5651.7279,793.6223,70.3680,5.5630,30.3525,2.4814,51.7600,2.3618
"(1, 6, 11)",tsmixer,33.3600,2.0582,64.3333,6.5064,202.2928,0.7462,10.9405,0.0352,4.8150,0.0156,52.4967,0.1443
"(2, 7, 12)",deepAR,192.9000,204.6247,29.6667,32.3316,17156.8528,5394.7311,123.4651,20.9497,48.5569,8.5566,47.4200,4.0608
"(2, 7, 12)",dlinear,7.3600,1.7930,12.3333,4.5092,227.1561,14.3756,11.2519,0.4931,4.5325,0.1843,51.1067,1.8524
"(2, 7, 12)",nbeats,18.6433,0.5516,15.3333,0.5774,2118.8399,1133.6969,34.2629,9.9935,13.4045,3.8424,51.5967,0.6501
"(2, 7, 12)",tft,33.8733,7.8254,16.0000,4.3589,13373.5268,699.0941,107.5470,2.1017,41.8134,0.6993,51.7600,2.4716
"(2, 7, 12)",tsmixer,40.3400,9.4339,76.6667,20.4287,172.1464,0.4881,9.7921,0.0258,3.9857,0.0087,48.1600,0.0000
"(3, 8, 13)",deepAR,90.5233,10.5548,13.6667,2.0817,328.7678,15.1655,17.5717,0.3254,26.5013,0.4808,47.6633,0.8861
"(3, 8, 13)",dlinear,6.8967,0.1401,11.0000,0.0000,5.9132,0.1690,1.8830,0.0311,2.8642,0.0493,48.5700,2.3618
"(3, 8, 13)",nbeats,21.4633,0.5255,18.3333,0.5774,63.5611,16.8362,7.1036,1.2090,10.6675,1.8344,50.2867,3.0539
"(3, 8, 13)",tft,29.6700,7.3193,13.6667,4.0415,126.6233,13.2983,10.2699,0.6337,15.3402,0.9761,48.3200,3.3516
"(3, 8, 13)",tsmixer,26.4867,1.8257,49.0000,3.6056,4.5613,0.0364,1.7007,0.0061,2.5854,0.0104,47.4200,0.6520
"(4, 9, 14)",deepAR,96.6833,14.0211,14.0000,2.6458,41635.1033,15179.9627,194.5171,35.8769,32.6341,6.1132,46.9300,2.7381
"(4, 9, 14)",dlinear,5.9900,0.3305,9.0000,1.0000,404.0910,19.1313,14.6047,1.2788,2.5465,0.2029,51.8433,4.0261
"(4, 9, 14)",nbeats,26.0200,4.1182,23.3333,4.5092,6684.3571,1877.7859,67.9424,7.6766,11.2790,1.2818,47.4200,1.5348
"(4, 9, 14)",tft,40.0033,1.0378,19.3333,0.5774,28161.7558,619.3467,158.9918,2.1396,26.5419,0.3714,51.1067,1.2759
"(4, 9, 14)",tsmixer,42.6867,3.9268,83.6667,8.1445,382.8792,4.2790,14.4116,0.0845,2.5050,0.0141,51.8467,2.1416
"(5, 10, 15)",deepAR,190.9767,165.0952,29.0000,25.1595,12245.5265,4277.6991,85.9526,18.3556,24.1984,5.8468,50.9400,3.1674
"(5, 10, 15)",dlinear,7.2833,0.2974,12.3333,0.5774,2308.2402,61.5809,35.3117,0.4889,11.0104,0.0902,49.9567,1.6358
"(5, 10, 15)",nbeats,32.4667,5.0657,30.3333,5.5076,4243.1569,667.8989,52.1444,3.9099,16.3478,0.8392,49.3867,3.0171
"(5, 10, 15)",tft,32.5967,17.4966,15.3333,9.7125,10633.4380,1693.0001,81.9113,8.5383,25.1016,3.0689,51.9233,3.8613
"(5, 10, 15)",tsmixer,30.1267,2.3924,57.0000,4.0000,2249.7574,19.7473,35.6797,0.1496,11.3796,0.0475,46.7667,2.4591
