dirs,Model,Train Time (s)_mean,Train Time (s)_std,Epochs Trained_mean,Epochs Trained_std,MSE_mean,MSE_std,MAE_mean,MAE_std,MAPE (%)_mean,MAPE (%)_std,MDA (%)_mean,MDA (%)_std
"(1, 6, 11)",deepAR,368.6433,106.5706,15.6667,4.5092,9587.1856,4994.6261,89.4671,26.3777,39.3764,11.8344,49.8700,3.1622
"(1, 6, 11)",dlinear,6.9033,1.5440,10.3333,3.0551,765.2194,98.6018,21.5878,1.7701,9.3670,0.7735,50.5667,3.2201
"(1, 6, 11)",nbeats,27.4267,2.1484,17.6667,1.5275,3393.0370,896.6163,49.0739,6.9131,21.4251,3.0958,50.0433,3.2609
"(1, 6, 11)",tft,109.7733,34.7177,17.6667,4.0415,4885.0377,347.3182,65.5042,2.6153,28.7142,1.2014,51.1767,2.3939
"(1, 6, 11)",tsmixer,9.2600,3.9751,8.6667,1.1547,862.8451,25.8495,23.6154,0.4558,10.4356,0.1985,50.0400,1.5292
"(2, 7, 12)",deepAR,262.9133,4.6735,11.0000,0.0000,19497.1773,2332.5082,132.7650,8.0797,53.1226,3.2855,47.4333,5.0477
"(2, 7, 12)",dlinear,7.0567,0.2438,10.0000,1.0000,996.7268,209.3519,24.6997,2.9492,10.0044,1.1379,49.0000,1.5292
"(2, 7, 12)",nbeats,20.2233,3.5623,9.3333,0.5774,11776.0564,1196.2972,96.2956,4.1663,38.3812,1.4815,49.7833,4.0558
"(2, 7, 12)",tft,142.8567,62.6670,19.0000,9.0000,22085.0486,9061.3267,138.7364,28.6410,55.3357,11.4193,49.3467,1.1958
"(2, 7, 12)",tsmixer,6.5733,0.0603,7.0000,0.0000,582.2297,15.3003,19.1376,0.4261,7.9342,0.1574,45.6900,2.0900
"(3, 8, 13)",deepAR,309.0167,23.4639,13.0000,1.0000,400.9039,216.4599,18.7616,5.9271,28.5104,9.0992,51.0000,1.0553
"(3, 8, 13)",dlinear,7.2700,0.6183,10.6667,2.0817,22.9773,2.6283,4.0787,0.2123,6.2759,0.3561,51.9567,3.9497
"(3, 8, 13)",nbeats,45.6533,10.8205,27.6667,2.5166,152.8576,43.6727,9.1034,1.1192,13.8293,1.6638,49.0000,4.9969
"(3, 8, 13)",tft,217.7900,97.5524,29.6667,2.5166,102.8830,1.8514,9.2531,0.1407,13.8585,0.2293,49.7833,1.9260
"(3, 8, 13)",tsmixer,10.4100,2.6044,12.0000,6.9282,30.2733,0.2426,4.6043,0.0168,7.0902,0.0240,49.7833,1.7409
"(4, 9, 14)",deepAR,310.3567,74.3573,13.0000,3.4641,48242.7286,12532.1030,211.2273,28.0368,35.8256,4.8278,51.0000,3.4085
"(4, 9, 14)",dlinear,5.8567,0.6816,7.0000,0.0000,1769.7494,99.2149,31.2804,1.0204,5.3217,0.1922,51.0000,3.0138
"(4, 9, 14)",nbeats,27.6767,12.7086,14.3333,3.2146,35344.6534,2200.1297,166.2409,5.4128,27.9959,0.9222,52.3900,1.0881
"(4, 9, 14)",tft,105.2767,59.2581,13.0000,2.6458,32186.5450,929.3308,170.6353,1.9922,28.8637,0.3361,48.5667,3.2730
"(4, 9, 14)",tsmixer,15.5333,5.7222,21.3333,7.6376,1115.7403,28.2011,27.4737,0.3170,4.7429,0.0473,50.2167,3.5086
"(5, 10, 15)",deepAR,530.6167,284.7343,23.0000,12.2882,12974.2996,6135.1564,92.8051,16.6209,31.5513,1.4723,48.9967,2.8754
"(5, 10, 15)",dlinear,6.3800,0.3904,8.3333,0.5774,11050.9030,797.9426,75.4267,3.8875,23.9173,1.1477,54.3067,1.1390
"(5, 10, 15)",nbeats,30.3433,8.8123,17.0000,4.3589,8140.7387,215.7852,75.9279,1.1403,27.5264,0.4664,49.0833,3.3347
"(5, 10, 15)",tft,57.0333,24.0743,6.6667,0.5774,10191.7499,1608.2394,80.9012,4.5509,27.8926,1.0593,52.8267,1.5772
"(5, 10, 15)",tsmixer,12.2667,3.5974,14.0000,1.0000,7245.0286,215.2718,63.9169,1.0483,19.5972,0.3129,50.3033,2.2207
