dirs,Model,Train Time (s)_mean,Train Time (s)_std,Epochs Trained_mean,Epochs Trained_std,MSE_mean,MSE_std,MAE_mean,MAE_std,MAPE (%)_mean,MAPE (%)_std,MDA (%)_mean,MDA (%)_std
"(1, 9, 17)",deepAR,2132.1100,603.8030,49.6667,14.0119,294.0809,61.3957,15.3705,1.0469,3.4153,0.2070,51.5800,3.1600
"(1, 9, 17)",dlinear,280.0667,71.7435,15.0000,4.0000,1156.8793,59.9983,29.5261,0.9647,6.5202,0.2205,46.6700,4.7447
"(1, 9, 17)",nbeats,225.3933,82.1664,8.0000,1.0000,1548.3245,399.1015,32.5511,5.0295,7.2565,1.1064,47.0200,1.2124
"(1, 9, 17)",tft,1819.1167,310.3575,9.6667,2.0817,197.8102,78.3154,10.7807,2.4020,2.4110,0.5349,48.0700,5.2948
"(1, 9, 17)",tsmixer,513.0667,175.5147,30.3333,1.1547,561.7100,17.6993,19.9123,0.2689,4.3776,0.0578,52.2767,2.4306
"(2, 10, 18)",deepAR,3593.4367,1903.8591,46.0000,25.2389,345.5741,183.9933,15.8000,4.4664,3.4903,0.9536,48.6900,3.9557
"(2, 10, 18)",dlinear,281.4033,128.9517,15.3333,6.0277,1364.0871,134.9036,33.4915,2.5571,7.3907,0.5756,50.7867,4.1595
"(2, 10, 18)",nbeats,323.2333,161.0852,10.0000,3.0000,2016.8429,648.0057,36.5167,5.3563,8.1020,1.2005,47.2967,1.2067
"(2, 10, 18)",tft,3377.5467,1108.8824,10.3333,0.5774,277.7591,48.4753,13.4790,1.6826,3.0013,0.3862,46.7700,1.5069
"(2, 10, 18)",tsmixer,425.2633,14.4768,16.3333,0.5774,606.4756,17.6842,21.5080,0.3255,4.7236,0.0715,45.3733,2.3600
"(3, 11, 19)",deepAR,654.0233,134.3638,19.3333,3.7859,8.8232,1.3698,2.5541,0.2058,32.8738,1.5723,60.7033,1.6083
"(3, 11, 19)",dlinear,50.2233,18.6601,14.3333,3.2146,15.0877,1.6054,3.3389,0.1955,36.9109,2.1903,62.8067,2.1898
"(3, 11, 19)",nbeats,90.3733,47.7283,9.0000,2.6458,4.7704,0.8579,1.8041,0.2037,24.0495,3.4004,46.6667,3.9810
"(3, 11, 19)",tft,599.0000,457.3841,11.0000,6.2450,10.0412,2.8522,2.5395,0.3738,32.2914,5.8388,48.7700,1.2124
"(3, 11, 19)",tsmixer,62.7700,22.9816,9.0000,1.0000,3.8945,0.6038,1.5871,0.1906,18.0750,2.2550,51.2267,5.1944
"(4, 12, 20)",deepAR,1390.3033,203.8739,19.6667,3.0551,8.5789,1.4244,2.5383,0.2605,44.3776,6.6911,53.2267,1.5984
"(4, 12, 20)",dlinear,34.3000,3.6695,11.0000,2.0000,15.0058,3.2085,3.3125,0.3712,47.3350,3.6399,54.2767,1.0921
"(4, 12, 20)",nbeats,101.5167,39.0007,9.6667,1.1547,10.0854,1.3863,2.6202,0.1589,54.7339,0.7085,46.9467,2.1115
"(4, 12, 20)",tft,800.6600,232.6958,9.6667,8.0829,194.4770,304.7721,9.8895,11.2936,186.4875,197.8667,44.6767,1.5995
"(4, 12, 20)",tsmixer,60.2033,20.1217,8.3333,0.5774,20.8158,0.6126,3.5450,0.0508,88.3774,0.9796,46.5967,0.5250
"(5, 13, 21)",deepAR,993.7667,107.3699,30.3333,2.8868,354.5795,99.0648,16.8816,3.2867,91.9026,13.9762,75.4400,6.3490
"(5, 13, 21)",dlinear,64.8333,24.8631,19.0000,4.3589,75.1141,2.2707,7.2179,0.1322,27.1727,0.5718,95.0900,0.6062
"(5, 13, 21)",nbeats,109.4033,42.4846,11.3333,1.5275,67.6356,18.2631,6.6605,1.0560,25.1894,4.2784,66.3167,5.5712
"(5, 13, 21)",tft,701.1767,308.3548,14.6667,5.8595,99.8857,7.1228,8.2636,0.3917,38.7334,3.3017,45.6167,3.0369
"(5, 13, 21)",tsmixer,116.8533,66.8084,15.0000,2.0000,90.2878,13.4507,8.2060,0.6723,45.4688,3.7810,62.4567,1.6083
"(6, 14, 22)",deepAR,1627.3233,237.7379,23.0000,2.6458,344.2176,111.5610,16.9009,3.5028,96.9224,18.2874,73.1267,1.3186
"(6, 14, 22)",dlinear,58.9000,14.8615,20.6667,2.5166,56.0408,1.1106,6.2310,0.0596,27.1317,0.2254,84.1200,0.6062
"(6, 14, 22)",nbeats,104.3967,37.0372,10.3333,0.5774,62.7361,5.0110,6.5881,0.3073,28.2868,1.4428,53.7500,1.6830
"(6, 14, 22)",tft,1225.8967,940.4955,11.3333,6.8069,149.9058,62.2772,10.0852,2.5581,55.9915,17.4741,45.9000,2.6892
"(6, 14, 22)",tsmixer,50.5033,16.0149,7.0000,0.0000,340.3360,28.7787,16.9858,0.7180,97.1803,4.0024,56.1967,1.6866
"(7, 15, 23)",deepAR,538.9033,43.6389,15.0000,1.0000,1119964.2133,79847.2032,856.2035,27.8115,21.5201,0.6506,40.0000,3.1600
"(7, 15, 23)",dlinear,773.4400,132.2198,17.0000,3.0000,56848.0800,1025.9296,167.5632,2.8082,4.1526,0.0802,85.9667,2.6477
"(7, 15, 23)",nbeats,104.1367,41.9964,9.0000,1.0000,75130.5621,21282.5383,188.3502,28.3370,4.7973,0.6586,74.3833,1.2182
"(7, 15, 23)",tft,981.7533,518.2223,12.0000,3.0000,505593.0626,108703.2719,549.6653,86.9427,14.5224,2.7303,52.9833,2.1898
"(7, 15, 23)",tsmixer,795.0167,234.7982,14.3333,4.1633,944600.0728,15847.5805,757.6898,3.3669,18.9866,0.0314,38.5967,4.9734
"(8, 16, 24)",deepAR,1203.9900,276.3714,16.6667,4.0415,862181.8812,91352.7451,726.4185,26.5876,18.8814,0.4707,38.3933,1.0921
"(8, 16, 24)",dlinear,809.6767,84.0202,14.0000,1.0000,47884.4123,765.9162,153.0281,0.7389,4.0899,0.0114,85.3400,1.0500
"(8, 16, 24)",nbeats,170.1367,48.5019,11.0000,1.0000,70666.7056,10272.1918,206.1295,16.6892,5.6691,0.4872,68.0600,5.1575
"(8, 16, 24)",tft,1076.0300,91.6850,7.3333,3.2146,697392.3234,263762.8083,661.9724,134.9502,19.4481,4.6529,51.6567,1.5984
"(8, 16, 24)",tsmixer,1341.5600,55.9907,9.3333,0.5774,821185.1970,10868.5034,723.9468,8.4412,19.1252,0.2265,41.3600,1.3852
