id,dataset,target,date,horizon,results_file,status,started_at
1,Data/weather.csv,OT,date,96,Pipeline/outputs/1/results.csv,success,2026-04-12 23:20:42
2,Data/weather.csv,OT,date,192,Pipeline/outputs/2/results.csv,success,2026-04-13 01:00:37
3,Data/ETTh1.csv,OT,date,96,Pipeline/outputs/3/results.csv,success,2026-04-13 03:06:54
4,Data/ETTh1.csv,OT,date,192,Pipeline/outputs/4/results.csv,success,2026-04-13 03:37:58
5,Data/ETTh2.csv,OT,date,96,Pipeline/outputs/5/results.csv,success,2026-04-13 04:16:13
6,Data/ETTh2.csv,OT,date,192,Pipeline/outputs/6/results.csv,success,2026-04-13 04:53:27
7,Data/electricity.csv,OT,date,96,Pipeline/outputs/7/results.csv,success,2026-04-13 06:06:22
8,Data/electricity.csv,OT,date,192,Pipeline/outputs/8/results.csv,success,2026-04-13 07:04:52
9,Data/weather.csv,OT,date,96,Pipeline/outputs/9/results.csv,success,2026-04-13 09:55:20
10,Data/weather.csv,OT,date,192,Pipeline/outputs/10/results.csv,success,2026-04-13 11:14:54
11,Data/ETTh1.csv,OT,date,96,Pipeline/outputs/11/results.csv,success,2026-04-13 13:24:43
12,Data/ETTh1.csv,OT,date,192,Pipeline/outputs/12/results.csv,success,2026-04-13 13:46:48
13,Data/ETTh2.csv,OT,date,96,Pipeline/outputs/13/results.csv,success,2026-04-13 14:27:35
14,Data/ETTh2.csv,OT,date,192,Pipeline/outputs/14/results.csv,success,2026-04-13 14:57:54
15,Data/electricity.csv,OT,date,96,Pipeline/outputs/15/results.csv,success,2026-04-13 15:45:12
16,Data/electricity.csv,OT,date,192,Pipeline/outputs/16/results.csv,success,2026-04-13 16:46:16
17,Data/weather.csv,OT,date,96,Pipeline/outputs/17/results.csv,success,2026-04-13 19:39:11
18,Data/weather.csv,OT,date,192,Pipeline/outputs/18/results.csv,success,2026-04-13 20:48:19
19,Data/ETTh1.csv,OT,date,96,Pipeline/outputs/19/results.csv,success,2026-04-13 23:12:23
20,Data/ETTh1.csv,OT,date,192,Pipeline/outputs/20/results.csv,success,2026-04-13 23:32:09
21,Data/ETTh2.csv,OT,date,96,Pipeline/outputs/21/results.csv,success,2026-04-14 00:12:33
22,Data/ETTh2.csv,OT,date,192,Pipeline/outputs/22/results.csv,success,2026-04-14 00:44:24
23,Data/electricity.csv,OT,date,96,Pipeline/outputs/23/results.csv,success,2026-04-14 01:17:38
24,Data/electricity.csv,OT,date,192,Pipeline/outputs/24/results.csv,success,2026-04-14 01:57:59
