Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
tft,weather.csv,OT,192,96,24,716845648,0,2020-11-07T02:40:00,2020-11-08T10:30:00,200.3278,10.957,2.4644,46.6
tft,weather.csv,OT,192,96,24,716845648,1,2020-11-07T06:40:00,2020-11-08T14:30:00,135.0847,9.3176,2.0834,52.36
tft,weather.csv,OT,192,96,24,716845648,2,2020-11-07T10:40:00,2020-11-08T18:30:00,174.4958,10.5941,2.3856,46.6
tft,weather.csv,OT,192,96,24,716845648,3,2020-11-07T14:40:00,2020-11-08T22:30:00,145.1551,9.486,2.117,50.79
tft,weather.csv,OT,192,96,24,716845648,4,2020-11-07T18:40:00,2020-11-09T02:30:00,203.0498,11.5613,2.5604,51.31
tft,weather.csv,OT,192,96,24,716845648,5,2020-11-07T22:40:00,2020-11-09T06:30:00,414.4036,16.2607,3.5554,56.02
tft,weather.csv,OT,192,96,24,716845648,6,2020-11-08T02:40:00,2020-11-09T10:30:00,743.2997,21.9195,4.7461,45.55
tft,weather.csv,OT,192,96,24,716845648,7,2020-11-08T06:40:00,2020-11-09T14:30:00,1040.6677,26.9301,5.7629,46.6
tft,weather.csv,OT,192,96,24,716845648,8,2020-11-08T10:40:00,2020-11-09T18:30:00,1466.2059,32.8942,6.9901,50.79
tft,weather.csv,OT,192,96,24,716845648,9,2020-11-08T14:40:00,2020-11-09T22:30:00,1252.5515,30.8903,6.5028,52.36
tft,weather.csv,OT,192,96,24,716845648,10,2020-11-08T18:40:00,2020-11-10T02:30:00,1712.094,36.3608,7.5999,48.69
tft,weather.csv,OT,192,96,24,716845648,11,2020-11-08T22:40:00,2020-11-10T06:30:00,1496.7196,33.658,7.0031,42.93
tft,weather.csv,OT,192,96,24,716845648,12,2020-11-09T02:40:00,2020-11-10T10:30:00,1641.6012,35.5337,7.3915,44.5
tft,weather.csv,OT,192,96,24,716845648,13,2020-11-09T06:40:00,2020-11-10T14:30:00,2039.8139,41.7009,8.709,50.79
tft,weather.csv,OT,192,96,24,716845648,14,2020-11-09T10:40:00,2020-11-10T18:30:00,2033.244,41.4028,8.6935,47.12
tft,weather.csv,OT,192,96,24,716845648,15,2020-11-09T14:40:00,2020-11-10T22:30:00,2082.0134,40.3343,8.4867,45.03
tft,weather.csv,OT,192,96,24,716845648,16,2020-11-09T18:40:00,2020-11-11T02:30:00,1420.8126,34.2123,7.2779,47.12
tft,weather.csv,OT,192,96,24,716845648,17,2020-11-09T22:40:00,2020-11-11T06:30:00,1076.7219,29.3361,6.2945,51.31
tft,weather.csv,OT,192,96,24,716845648,18,2020-11-10T02:40:00,2020-11-11T10:30:00,1189.6402,30.7613,6.5921,56.02
tft,weather.csv,OT,192,96,24,716845648,19,2020-11-10T06:40:00,2020-11-11T14:30:00,1453.4871,35.3554,7.5305,40.84
tft,weather.csv,OT,192,96,24,716845648,20,2020-11-10T10:40:00,2020-11-11T18:30:00,1405.5491,35.6085,7.6299,45.55
tft,weather.csv,OT,192,96,24,716845648,21,2020-11-10T14:40:00,2020-11-11T22:30:00,1301.2006,33.8291,7.202,47.64
tft,weather.csv,OT,192,96,24,716845648,22,2020-11-10T18:40:00,2020-11-12T02:30:00,986.5655,28.4007,6.0157,49.21
tft,weather.csv,OT,192,96,24,716845648,23,2020-11-10T22:40:00,2020-11-12T06:30:00,861.4277,25.7393,5.4526,47.12
tft,weather.csv,OT,192,96,24,716845648,24,2020-11-11T02:40:00,2020-11-12T10:30:00,816.7169,23.6827,5.0112,49.21
tft,weather.csv,OT,192,96,24,716845648,25,2020-11-11T06:40:00,2020-11-12T14:30:00,706.8516,21.7404,4.6193,46.07
tft,weather.csv,OT,192,96,24,716845648,26,2020-11-11T10:40:00,2020-11-12T18:30:00,786.0407,22.5851,4.8507,44.5
tft,weather.csv,OT,192,96,24,716845648,27,2020-11-11T14:40:00,2020-11-12T22:30:00,741.7946,21.6521,4.6921,45.55
tft,weather.csv,OT,192,96,24,716845648,28,2020-11-11T18:40:00,2020-11-13T02:30:00,547.5992,18.9872,4.1336,46.6
tft,weather.csv,OT,192,96,24,716845648,29,2020-11-11T22:40:00,2020-11-13T06:30:00,409.9355,16.829,3.7117,49.74
tft,weather.csv,OT,192,96,24,716845648,30,2020-11-12T02:40:00,2020-11-13T10:30:00,669.3568,22.8527,5.0579,53.93
tft,weather.csv,OT,192,96,24,716845648,31,2020-11-12T06:40:00,2020-11-13T14:30:00,667.8647,22.7603,5.0698,48.17
tft,weather.csv,OT,192,96,24,716845648,32,2020-11-12T10:40:00,2020-11-13T18:30:00,603.0029,21.5662,4.8106,49.21
tft,weather.csv,OT,192,96,24,716845648,33,2020-11-12T14:40:00,2020-11-13T22:30:00,524.4692,20.0743,4.4498,41.36
tft,weather.csv,OT,192,96,24,716845648,34,2020-11-12T18:40:00,2020-11-14T02:30:00,445.2615,18.2105,4.0271,47.12
tft,weather.csv,OT,192,96,24,716845648,35,2020-11-12T22:40:00,2020-11-14T06:30:00,304.6601,14.7644,3.2858,49.74
tft,weather.csv,OT,192,96,24,716845648,36,2020-11-13T02:40:00,2020-11-14T10:30:00,442.2723,18.6055,4.1553,47.64
tft,weather.csv,OT,192,96,24,716845648,37,2020-11-13T06:40:00,2020-11-14T14:30:00,276.3458,14.1746,3.1951,48.69
