epoch,step,train_loss,val_loss
0,11,,1.416603037844547
1,23,,1.410844433860697
2,35,,1.5038916165017104
3,47,,1.5066856127815649
4,49,0.21968274174130875,
4,59,,1.557318198740825
5,71,,1.5171544989139476
6,83,,1.2724735919171741
7,95,,1.003640080031862
8,99,0.17696849058483946,
8,107,,1.2810037392862395
9,119,,1.266105172646901
10,131,,1.314153713107
11,143,,1.477605418206068
12,149,0.13206452656793186,
12,155,,1.4683215200542874
13,167,,1.4434179828123588
14,179,,1.364790165942947
15,191,,1.5429093587308311
16,199,0.12054360666619669,
16,203,,1.6820190356684253
17,215,,1.5301946676134301
