Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
deepAR,weather.csv,OT,192,96,24,1306745857,0,2020-11-07T03:10:00+00:00,2020-11-15T02:10:00+00:00,931.2635,24.7637,5.5092,53.93
deepAR,weather.csv,OT,192,96,24,1306745857,1,2020-11-07T07:10:00+00:00,2020-11-15T06:10:00+00:00,886.085,24.3559,5.4494,50.79
deepAR,weather.csv,OT,192,96,24,1306745857,2,2020-11-07T11:10:00+00:00,2020-11-15T10:10:00+00:00,876.6046,23.2668,5.2285,45.55
deepAR,weather.csv,OT,192,96,24,1306745857,3,2020-11-07T15:10:00+00:00,2020-11-15T14:10:00+00:00,964.0659,24.8961,5.5718,53.93
deepAR,weather.csv,OT,192,96,24,1306745857,4,2020-11-07T19:10:00+00:00,2020-11-15T18:10:00+00:00,1038.1434,25.9237,5.7655,51.83
deepAR,weather.csv,OT,192,96,24,1306745857,5,2020-11-07T23:10:00+00:00,2020-11-15T22:10:00+00:00,1114.8546,27.2774,5.9851,51.83
deepAR,weather.csv,OT,192,96,24,1306745857,6,2020-11-08T03:10:00+00:00,2020-11-16T02:10:00+00:00,1170.9973,28.2982,6.1525,51.83
deepAR,weather.csv,OT,192,96,24,1306745857,7,2020-11-08T07:10:00+00:00,2020-11-16T06:10:00+00:00,1534.6569,33.7872,7.3186,50.26
deepAR,weather.csv,OT,192,96,24,1306745857,8,2020-11-08T11:10:00+00:00,2020-11-16T10:10:00+00:00,1901.7826,37.7634,8.1086,41.36
deepAR,weather.csv,OT,192,96,24,1306745857,9,2020-11-08T15:10:00+00:00,2020-11-16T14:10:00+00:00,2194.828,41.1333,8.7089,42.93
deepAR,weather.csv,OT,192,96,24,1306745857,10,2020-11-08T19:10:00+00:00,2020-11-16T18:10:00+00:00,2395.636,43.4964,9.1438,50.79
deepAR,weather.csv,OT,192,96,24,1306745857,11,2020-11-08T23:10:00+00:00,2020-11-16T22:10:00+00:00,2508.6802,43.4233,9.0708,58.64
deepAR,weather.csv,OT,192,96,24,1306745857,12,2020-11-09T03:10:00+00:00,2020-11-17T02:10:00+00:00,2609.7121,44.3792,9.25,58.12
deepAR,weather.csv,OT,192,96,24,1306745857,13,2020-11-09T07:10:00+00:00,2020-11-17T06:10:00+00:00,2589.5842,43.2632,9.0285,58.12
deepAR,weather.csv,OT,192,96,24,1306745857,14,2020-11-09T11:10:00+00:00,2020-11-17T10:10:00+00:00,2578.0028,42.343,8.8726,46.07
deepAR,weather.csv,OT,192,96,24,1306745857,15,2020-11-09T15:10:00+00:00,2020-11-17T14:10:00+00:00,2387.2449,41.2261,8.684,50.79
deepAR,weather.csv,OT,192,96,24,1306745857,16,2020-11-09T19:10:00+00:00,2020-11-17T18:10:00+00:00,2148.706,37.4406,7.9332,51.83
deepAR,weather.csv,OT,192,96,24,1306745857,17,2020-11-09T23:10:00+00:00,2020-11-17T22:10:00+00:00,2170.2275,35.5884,7.5624,48.17
deepAR,weather.csv,OT,192,96,24,1306745857,18,2020-11-10T03:10:00+00:00,2020-11-18T02:10:00+00:00,2069.3435,35.6559,7.6055,50.26
deepAR,weather.csv,OT,192,96,24,1306745857,19,2020-11-10T07:10:00+00:00,2020-11-18T06:10:00+00:00,2196.4249,38.1922,8.1649,46.6
deepAR,weather.csv,OT,192,96,24,1306745857,20,2020-11-10T11:10:00+00:00,2020-11-18T10:10:00+00:00,2148.8948,38.308,8.2105,46.07
deepAR,weather.csv,OT,192,96,24,1306745857,21,2020-11-10T15:10:00+00:00,2020-11-18T14:10:00+00:00,2215.3858,39.2104,8.3367,50.79
deepAR,weather.csv,OT,192,96,24,1306745857,22,2020-11-10T19:10:00+00:00,2020-11-18T18:10:00+00:00,2267.9571,40.1674,8.5147,52.36
deepAR,weather.csv,OT,192,96,24,1306745857,23,2020-11-10T23:10:00+00:00,2020-11-18T22:10:00+00:00,2228.3237,38.428,8.1471,44.5
deepAR,weather.csv,OT,192,96,24,1306745857,24,2020-11-11T03:10:00+00:00,2020-11-19T02:10:00+00:00,2400.1185,39.1884,8.302,42.41
deepAR,weather.csv,OT,192,96,24,1306745857,25,2020-11-11T07:10:00+00:00,2020-11-19T06:10:00+00:00,2101.3246,37.4669,8.0527,46.6
deepAR,weather.csv,OT,192,96,24,1306745857,26,2020-11-11T11:10:00+00:00,2020-11-19T10:10:00+00:00,1933.5911,34.6233,7.51,53.4
deepAR,weather.csv,OT,192,96,24,1306745857,27,2020-11-11T15:10:00+00:00,2020-11-19T14:10:00+00:00,1409.733,28.7191,6.2985,54.45
deepAR,weather.csv,OT,192,96,24,1306745857,28,2020-11-11T19:10:00+00:00,2020-11-19T18:10:00+00:00,1288.7667,26.3916,5.7795,54.45
deepAR,weather.csv,OT,192,96,24,1306745857,29,2020-11-11T23:10:00+00:00,2020-11-19T22:10:00+00:00,1422.209,26.5066,5.8205,50.26
deepAR,weather.csv,OT,192,96,24,1306745857,30,2020-11-12T03:10:00+00:00,2020-11-20T02:10:00+00:00,1202.5365,25.6875,5.7098,46.6
deepAR,weather.csv,OT,192,96,24,1306745857,31,2020-11-12T07:10:00+00:00,2020-11-20T06:10:00+00:00,1222.6653,26.6099,5.9546,50.79
deepAR,weather.csv,OT,192,96,24,1306745857,32,2020-11-12T11:10:00+00:00,2020-11-20T10:10:00+00:00,1321.8237,29.4042,6.5909,46.6
deepAR,weather.csv,OT,192,96,24,1306745857,33,2020-11-12T15:10:00+00:00,2020-11-20T14:10:00+00:00,1425.1398,30.5727,6.8332,49.74
deepAR,weather.csv,OT,192,96,24,1306745857,34,2020-11-12T19:10:00+00:00,2020-11-20T18:10:00+00:00,1173.778,27.2329,6.0722,48.69
