Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
nbeats,weather.csv,OT,96,96,24,1433444612,0,2020-11-07T02:40:00,2020-11-07T18:30:00,1971.2678,35.8962,7.9859,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,1,2020-11-07T06:40:00,2020-11-07T22:30:00,2048.477,35.251,7.9605,43.16
nbeats,weather.csv,OT,96,96,24,1433444612,2,2020-11-07T10:40:00,2020-11-08T02:30:00,3777.3589,46.2824,10.5882,48.42
nbeats,weather.csv,OT,96,96,24,1433444612,3,2020-11-07T14:40:00,2020-11-08T06:30:00,2358.5198,36.8203,8.3572,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,4,2020-11-07T18:40:00,2020-11-08T10:30:00,1802.254,32.9604,7.288,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,5,2020-11-07T22:40:00,2020-11-08T14:30:00,2450.2428,41.0902,9.0489,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,6,2020-11-08T02:40:00,2020-11-08T18:30:00,2915.7364,44.4754,9.833,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,7,2020-11-08T06:40:00,2020-11-08T22:30:00,2879.6933,43.6593,9.7401,56.84
nbeats,weather.csv,OT,96,96,24,1433444612,8,2020-11-08T10:40:00,2020-11-09T02:30:00,3867.6737,50.0983,11.2065,52.63
nbeats,weather.csv,OT,96,96,24,1433444612,9,2020-11-08T14:40:00,2020-11-09T06:30:00,2589.9117,41.6525,9.1905,53.68
nbeats,weather.csv,OT,96,96,24,1433444612,10,2020-11-08T18:40:00,2020-11-09T10:30:00,2306.3,39.3456,8.4333,55.79
nbeats,weather.csv,OT,96,96,24,1433444612,11,2020-11-08T22:40:00,2020-11-09T14:30:00,3160.4973,48.1798,10.1824,52.63
nbeats,weather.csv,OT,96,96,24,1433444612,12,2020-11-09T02:40:00,2020-11-09T18:30:00,4194.1202,57.9448,12.1241,45.26
nbeats,weather.csv,OT,96,96,24,1433444612,13,2020-11-09T06:40:00,2020-11-09T22:30:00,5314.6387,63.3096,13.1259,44.21
nbeats,weather.csv,OT,96,96,24,1433444612,14,2020-11-09T10:40:00,2020-11-10T02:30:00,5371.2955,62.067,12.8391,56.84
nbeats,weather.csv,OT,96,96,24,1433444612,15,2020-11-09T14:40:00,2020-11-10T06:30:00,4969.9029,59.6915,12.3643,45.26
nbeats,weather.csv,OT,96,96,24,1433444612,16,2020-11-09T18:40:00,2020-11-10T10:30:00,3040.0199,46.476,9.6783,37.89
nbeats,weather.csv,OT,96,96,24,1433444612,17,2020-11-09T22:40:00,2020-11-10T14:30:00,2560.4861,42.2451,8.9474,35.79
nbeats,weather.csv,OT,96,96,24,1433444612,18,2020-11-10T02:40:00,2020-11-10T18:30:00,2454.5515,41.7827,8.9871,47.37
nbeats,weather.csv,OT,96,96,24,1433444612,19,2020-11-10T06:40:00,2020-11-10T22:30:00,2695.4954,42.9824,9.3131,49.47
nbeats,weather.csv,OT,96,96,24,1433444612,20,2020-11-10T10:40:00,2020-11-11T02:30:00,3341.1937,46.8799,10.2685,51.58
nbeats,weather.csv,OT,96,96,24,1433444612,21,2020-11-10T14:40:00,2020-11-11T06:30:00,3204.875,47.3022,10.2067,42.11
nbeats,weather.csv,OT,96,96,24,1433444612,22,2020-11-10T18:40:00,2020-11-11T10:30:00,3417.8379,48.9898,10.3795,49.47
nbeats,weather.csv,OT,96,96,24,1433444612,23,2020-11-10T22:40:00,2020-11-11T14:30:00,4303.2383,56.4897,11.8765,51.58
nbeats,weather.csv,OT,96,96,24,1433444612,24,2020-11-11T02:40:00,2020-11-11T18:30:00,4697.9021,57.9768,12.2,60.0
nbeats,weather.csv,OT,96,96,24,1433444612,25,2020-11-11T06:40:00,2020-11-11T22:30:00,4662.1277,58.3881,12.3142,47.37
nbeats,weather.csv,OT,96,96,24,1433444612,26,2020-11-11T10:40:00,2020-11-12T02:30:00,3984.0981,52.9013,11.1929,33.68
nbeats,weather.csv,OT,96,96,24,1433444612,27,2020-11-11T14:40:00,2020-11-12T06:30:00,3141.717,46.5977,9.971,46.32
nbeats,weather.csv,OT,96,96,24,1433444612,28,2020-11-11T18:40:00,2020-11-12T10:30:00,2158.2744,37.9253,8.1743,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,29,2020-11-11T22:40:00,2020-11-12T14:30:00,1885.6824,35.0548,7.7543,41.05
nbeats,weather.csv,OT,96,96,24,1433444612,30,2020-11-12T02:40:00,2020-11-12T18:30:00,1902.2284,34.5388,7.8686,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,31,2020-11-12T06:40:00,2020-11-12T22:30:00,2332.1202,38.1366,8.7069,49.47
nbeats,weather.csv,OT,96,96,24,1433444612,32,2020-11-12T10:40:00,2020-11-13T02:30:00,3821.8719,48.6585,11.0389,52.63
nbeats,weather.csv,OT,96,96,24,1433444612,33,2020-11-12T14:40:00,2020-11-13T06:30:00,3466.9274,48.5298,10.7716,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,34,2020-11-12T18:40:00,2020-11-13T10:30:00,3522.0429,50.5181,11.0143,54.74
nbeats,weather.csv,OT,96,96,24,1433444612,35,2020-11-12T22:40:00,2020-11-13T14:30:00,4586.2827,56.0297,12.2576,42.11
nbeats,weather.csv,OT,96,96,24,1433444612,36,2020-11-13T02:40:00,2020-11-13T18:30:00,3803.8233,48.7598,10.8189,57.89
nbeats,weather.csv,OT,96,96,24,1433444612,37,2020-11-13T06:40:00,2020-11-13T22:30:00,3500.0457,46.0181,10.3837,45.26
nbeats,weather.csv,OT,96,96,24,1433444612,38,2020-11-13T10:40:00,2020-11-14T02:30:00,4925.5254,53.4385,12.3205,49.47
nbeats,weather.csv,OT,96,96,24,1433444612,39,2020-11-13T14:40:00,2020-11-14T06:30:00,3773.9673,47.0628,10.834,48.42
nbeats,weather.csv,OT,96,96,24,1433444612,40,2020-11-13T18:40:00,2020-11-14T10:30:00,1767.5888,32.7537,7.4199,53.68
nbeats,weather.csv,OT,96,96,24,1433444612,41,2020-11-13T22:40:00,2020-11-14T14:30:00,1902.634,34.4873,7.8224,46.32
nbeats,weather.csv,OT,96,96,24,1433444612,42,2020-11-14T02:40:00,2020-11-14T18:30:00,1588.9538,31.9683,7.3434,48.42
nbeats,weather.csv,OT,96,96,24,1433444612,43,2020-11-14T06:40:00,2020-11-14T22:30:00,1767.9323,32.2971,7.4506,48.42
nbeats,weather.csv,OT,96,96,24,1433444612,44,2020-11-14T10:40:00,2020-11-15T02:30:00,2406.2197,37.8892,8.8025,41.05
nbeats,weather.csv,OT,96,96,24,1433444612,45,2020-11-14T14:40:00,2020-11-15T06:30:00,1579.7945,31.4767,7.2456,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,46,2020-11-14T18:40:00,2020-11-15T10:30:00,1151.6368,27.1314,6.2042,51.58
nbeats,weather.csv,OT,96,96,24,1433444612,47,2020-11-14T22:40:00,2020-11-15T14:30:00,1214.7037,28.162,6.4838,49.47
nbeats,weather.csv,OT,96,96,24,1433444612,48,2020-11-15T02:40:00,2020-11-15T18:30:00,1331.9408,30.0482,7.0008,46.32
nbeats,weather.csv,OT,96,96,24,1433444612,49,2020-11-15T06:40:00,2020-11-15T22:30:00,1557.1902,30.5897,7.1488,44.21
nbeats,weather.csv,OT,96,96,24,1433444612,50,2020-11-15T10:40:00,2020-11-16T02:30:00,2207.8955,36.1192,8.4934,52.63
nbeats,weather.csv,OT,96,96,24,1433444612,51,2020-11-15T14:40:00,2020-11-16T06:30:00,1455.5454,29.6347,6.9327,56.84
nbeats,weather.csv,OT,96,96,24,1433444612,52,2020-11-15T18:40:00,2020-11-16T10:30:00,1280.6951,28.2093,6.5735,48.42
nbeats,weather.csv,OT,96,96,24,1433444612,53,2020-11-15T22:40:00,2020-11-16T14:30:00,1112.4953,26.0536,6.124,52.63
nbeats,weather.csv,OT,96,96,24,1433444612,54,2020-11-16T02:40:00,2020-11-16T18:30:00,855.6291,22.5759,5.3268,42.11
nbeats,weather.csv,OT,96,96,24,1433444612,55,2020-11-16T06:40:00,2020-11-16T22:30:00,1300.5057,27.7484,6.6091,44.21
nbeats,weather.csv,OT,96,96,24,1433444612,56,2020-11-16T10:40:00,2020-11-17T02:30:00,1637.3406,31.3083,7.4583,38.95
nbeats,weather.csv,OT,96,96,24,1433444612,57,2020-11-16T14:40:00,2020-11-17T06:30:00,2027.3321,35.5295,8.4186,48.42
nbeats,weather.csv,OT,96,96,24,1433444612,58,2020-11-16T18:40:00,2020-11-17T10:30:00,1896.2137,35.8374,8.4731,48.42
nbeats,weather.csv,OT,96,96,24,1433444612,59,2020-11-16T22:40:00,2020-11-17T14:30:00,1856.8518,35.469,8.4036,40.0
nbeats,weather.csv,OT,96,96,24,1433444612,60,2020-11-17T02:40:00,2020-11-17T18:30:00,2060.4402,36.8379,8.7544,40.0
nbeats,weather.csv,OT,96,96,24,1433444612,61,2020-11-17T06:40:00,2020-11-17T22:30:00,2199.5334,37.1184,8.8247,43.16
nbeats,weather.csv,OT,96,96,24,1433444612,62,2020-11-17T10:40:00,2020-11-18T02:30:00,2348.8329,37.8862,9.0044,40.0
nbeats,weather.csv,OT,96,96,24,1433444612,63,2020-11-17T14:40:00,2020-11-18T06:30:00,2179.8981,36.5707,8.6565,42.11
nbeats,weather.csv,OT,96,96,24,1433444612,64,2020-11-17T18:40:00,2020-11-18T10:30:00,1568.9027,32.1122,7.539,52.63
nbeats,weather.csv,OT,96,96,24,1433444612,65,2020-11-17T22:40:00,2020-11-18T14:30:00,2247.2408,38.2125,8.9831,49.47
nbeats,weather.csv,OT,96,96,24,1433444612,66,2020-11-18T02:40:00,2020-11-18T18:30:00,2165.6677,37.9982,8.9794,37.89
nbeats,weather.csv,OT,96,96,24,1433444612,67,2020-11-18T06:40:00,2020-11-18T22:30:00,1633.4876,32.4245,7.6399,52.63
nbeats,weather.csv,OT,96,96,24,1433444612,68,2020-11-18T10:40:00,2020-11-19T02:30:00,1631.0048,31.6688,7.4699,46.32
nbeats,weather.csv,OT,96,96,24,1433444612,69,2020-11-18T14:40:00,2020-11-19T06:30:00,1566.8465,31.3972,7.3191,49.47
nbeats,weather.csv,OT,96,96,24,1433444612,70,2020-11-18T18:40:00,2020-11-19T10:30:00,972.8173,24.6533,5.6791,45.26
nbeats,weather.csv,OT,96,96,24,1433444612,71,2020-11-18T22:40:00,2020-11-19T14:30:00,1541.9534,30.6332,7.1122,48.42
nbeats,weather.csv,OT,96,96,24,1433444612,72,2020-11-19T02:40:00,2020-11-19T18:30:00,1805.581,34.0527,7.9771,45.26
nbeats,weather.csv,OT,96,96,24,1433444612,73,2020-11-19T06:40:00,2020-11-19T22:30:00,1835.2131,33.9638,8.0441,43.16
nbeats,weather.csv,OT,96,96,24,1433444612,74,2020-11-19T10:40:00,2020-11-20T02:30:00,1952.7915,33.973,8.1137,40.0
nbeats,weather.csv,OT,96,96,24,1433444612,75,2020-11-19T14:40:00,2020-11-20T06:30:00,2288.7326,37.5195,8.9452,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,76,2020-11-19T18:40:00,2020-11-20T10:30:00,2395.5212,40.2174,9.5226,42.11
nbeats,weather.csv,OT,96,96,24,1433444612,77,2020-11-19T22:40:00,2020-11-20T14:30:00,3073.7555,46.2094,10.9379,38.95
nbeats,weather.csv,OT,96,96,24,1433444612,78,2020-11-20T02:40:00,2020-11-20T18:30:00,3210.593,45.9087,10.8691,45.26
nbeats,weather.csv,OT,96,96,24,1433444612,79,2020-11-20T06:40:00,2020-11-20T22:30:00,3621.606,48.9152,11.5446,42.11
nbeats,weather.csv,OT,96,96,24,1433444612,80,2020-11-20T10:40:00,2020-11-21T02:30:00,4326.779,52.3448,12.2762,43.16
nbeats,weather.csv,OT,96,96,24,1433444612,81,2020-11-20T14:40:00,2020-11-21T06:30:00,2764.213,42.7035,9.8524,50.53
nbeats,weather.csv,OT,96,96,24,1433444612,82,2020-11-20T18:40:00,2020-11-21T10:30:00,2098.5635,36.9102,8.4027,45.26
nbeats,weather.csv,OT,96,96,24,1433444612,83,2020-11-20T22:40:00,2020-11-21T14:30:00,2199.6936,38.1756,8.719,47.37
nbeats,weather.csv,OT,96,96,24,1433444612,84,2020-11-21T02:40:00,2020-11-21T18:30:00,2356.8931,38.9847,9.0182,46.32
nbeats,weather.csv,OT,96,96,24,1433444612,85,2020-11-21T06:40:00,2020-11-21T22:30:00,2768.9936,40.8683,9.5226,46.32
nbeats,weather.csv,OT,96,96,24,1433444612,86,2020-11-21T10:40:00,2020-11-22T02:30:00,4231.9864,49.6836,11.7534,42.11
nbeats,weather.csv,OT,96,96,24,1433444612,87,2020-11-21T14:40:00,2020-11-22T06:30:00,3929.3015,48.1833,11.3534,44.21
nbeats,weather.csv,OT,96,96,24,1433444612,88,2020-11-21T18:40:00,2020-11-22T10:30:00,2382.8559,37.8316,8.8694,38.95
