Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
tsmixer,ETTm1.csv,OT,96,96,24,829936862,0,2018-03-09T23:00:00+00:00,2018-03-10T22:45:00+00:00,2.7049,1.2972,17.6208,40.0
tsmixer,ETTm1.csv,OT,96,96,24,829936862,1,2018-03-10T05:00:00+00:00,2018-03-11T04:45:00+00:00,4.482,1.8929,25.4338,58.95
tsmixer,ETTm1.csv,OT,96,96,24,829936862,2,2018-03-10T11:00:00+00:00,2018-03-11T10:45:00+00:00,2.2012,1.3273,17.7834,48.42
tsmixer,ETTm1.csv,OT,96,96,24,829936862,3,2018-03-10T17:00:00+00:00,2018-03-11T16:45:00+00:00,1.6546,1.1038,14.1544,51.58
tsmixer,ETTm1.csv,OT,96,96,24,829936862,4,2018-03-10T23:00:00+00:00,2018-03-11T22:45:00+00:00,0.6155,0.6845,8.9965,51.58
tsmixer,ETTm1.csv,OT,96,96,24,829936862,5,2018-03-11T05:00:00+00:00,2018-03-12T04:45:00+00:00,1.667,1.1286,13.9823,41.05
tsmixer,ETTm1.csv,OT,96,96,24,829936862,6,2018-03-11T11:00:00+00:00,2018-03-12T10:45:00+00:00,4.8267,2.0987,25.1259,46.32
tsmixer,ETTm1.csv,OT,96,96,24,829936862,7,2018-03-11T17:00:00+00:00,2018-03-12T16:45:00+00:00,1.4497,1.1335,13.1321,46.32
tsmixer,ETTm1.csv,OT,96,96,24,829936862,8,2018-03-11T23:00:00+00:00,2018-03-12T22:45:00+00:00,1.5949,1.1129,12.0544,41.05
tsmixer,ETTm1.csv,OT,96,96,24,829936862,9,2018-03-12T05:00:00+00:00,2018-03-13T04:45:00+00:00,1.0374,0.8492,8.9851,45.26
tsmixer,ETTm1.csv,OT,96,96,24,829936862,10,2018-03-12T11:00:00+00:00,2018-03-13T10:45:00+00:00,2.0245,1.2859,13.4557,51.58
