Model,Dataset,Target,Horizon,Lookback,Stride,Seed,Window,Window_Start_TS,Window_End_TS,MSE,MAE,MAPE (%),MDA (%)
dlinear,traffic.csv,OT,192,96,24,1154705311,0,2018-03-14T10:00:00,2018-03-22T09:00:00,0.0,0.0043,19.4856,91.1
dlinear,traffic.csv,OT,192,96,24,1154705311,1,2018-03-15T10:00:00,2018-03-23T09:00:00,0.0,0.0045,21.3926,92.15
dlinear,traffic.csv,OT,192,96,24,1154705311,2,2018-03-16T10:00:00,2018-03-24T09:00:00,0.0,0.0049,24.1925,89.53
dlinear,traffic.csv,OT,192,96,24,1154705311,3,2018-03-17T10:00:00,2018-03-25T09:00:00,0.0,0.0052,24.8854,87.43
dlinear,traffic.csv,OT,192,96,24,1154705311,4,2018-03-18T10:00:00,2018-03-26T09:00:00,0.0,0.004,18.5708,85.86
dlinear,traffic.csv,OT,192,96,24,1154705311,5,2018-03-19T10:00:00,2018-03-27T09:00:00,0.0,0.0044,15.6273,86.91
dlinear,traffic.csv,OT,192,96,24,1154705311,6,2018-03-20T10:00:00,2018-03-28T09:00:00,0.0,0.0046,18.0005,85.34
dlinear,traffic.csv,OT,192,96,24,1154705311,7,2018-03-21T10:00:00,2018-03-29T09:00:00,0.0,0.0045,18.6522,86.39
dlinear,traffic.csv,OT,192,96,24,1154705311,8,2018-03-22T10:00:00,2018-03-30T09:00:00,0.0,0.0048,19.8664,86.91
dlinear,traffic.csv,OT,192,96,24,1154705311,9,2018-03-23T10:00:00,2018-03-31T09:00:00,0.0,0.0047,23.7704,86.39
dlinear,traffic.csv,OT,192,96,24,1154705311,10,2018-03-24T10:00:00,2018-04-01T09:00:00,0.0001,0.0057,24.6171,84.29
dlinear,traffic.csv,OT,192,96,24,1154705311,11,2018-03-25T10:00:00,2018-04-02T09:00:00,0.0001,0.0048,19.3891,85.86
dlinear,traffic.csv,OT,192,96,24,1154705311,12,2018-03-26T10:00:00,2018-04-03T09:00:00,0.0001,0.0054,18.1094,83.77
dlinear,traffic.csv,OT,192,96,24,1154705311,13,2018-03-27T10:00:00,2018-04-04T09:00:00,0.0001,0.005,20.0858,82.72
dlinear,traffic.csv,OT,192,96,24,1154705311,14,2018-03-28T10:00:00,2018-04-05T09:00:00,0.0001,0.0048,19.6899,83.77
dlinear,traffic.csv,OT,192,96,24,1154705311,15,2018-03-29T10:00:00,2018-04-06T09:00:00,0.0001,0.0049,19.8517,87.96
dlinear,traffic.csv,OT,192,96,24,1154705311,16,2018-03-30T10:00:00,2018-04-07T09:00:00,0.0001,0.0052,22.7254,84.82
dlinear,traffic.csv,OT,192,96,24,1154705311,17,2018-03-31T10:00:00,2018-04-08T09:00:00,0.0001,0.0053,22.1218,87.43
dlinear,traffic.csv,OT,192,96,24,1154705311,18,2018-04-01T10:00:00,2018-04-09T09:00:00,0.0001,0.0054,22.8147,84.82
dlinear,traffic.csv,OT,192,96,24,1154705311,19,2018-04-02T10:00:00,2018-04-10T09:00:00,0.0,0.0043,19.7616,83.25
dlinear,traffic.csv,OT,192,96,24,1154705311,20,2018-04-03T10:00:00,2018-04-11T09:00:00,0.0001,0.0055,28.6701,83.25
dlinear,traffic.csv,OT,192,96,24,1154705311,21,2018-04-04T10:00:00,2018-04-12T09:00:00,0.0,0.0049,21.4888,80.1
dlinear,traffic.csv,OT,192,96,24,1154705311,22,2018-04-05T10:00:00,2018-04-13T09:00:00,0.0,0.004,18.6518,87.43
dlinear,traffic.csv,OT,192,96,24,1154705311,23,2018-04-06T10:00:00,2018-04-14T09:00:00,0.0,0.0047,22.8798,87.43
dlinear,traffic.csv,OT,192,96,24,1154705311,24,2018-04-07T10:00:00,2018-04-15T09:00:00,0.0,0.0046,21.746,90.05
dlinear,traffic.csv,OT,192,96,24,1154705311,25,2018-04-08T10:00:00,2018-04-16T09:00:00,0.0,0.0038,17.2834,87.43
dlinear,traffic.csv,OT,192,96,24,1154705311,26,2018-04-09T10:00:00,2018-04-17T09:00:00,0.0,0.0044,16.1865,87.43
dlinear,traffic.csv,OT,192,96,24,1154705311,27,2018-04-10T10:00:00,2018-04-18T09:00:00,0.0,0.0049,19.6799,87.43
dlinear,traffic.csv,OT,192,96,24,1154705311,28,2018-04-11T10:00:00,2018-04-19T09:00:00,0.0,0.0047,18.9161,88.48
dlinear,traffic.csv,OT,192,96,24,1154705311,29,2018-04-12T10:00:00,2018-04-20T09:00:00,0.0,0.005,20.4309,88.48
dlinear,traffic.csv,OT,192,96,24,1154705311,30,2018-04-13T10:00:00,2018-04-21T09:00:00,0.0,0.0051,24.0537,89.01
