dirs,Model,Train Time (s)_mean,Train Time (s)_std,Epochs Trained_mean,Epochs Trained_std,MSE_mean,MSE_std,MAE_mean,MAE_std,MAPE (%)_mean,MAPE (%)_std,MDA (%)_mean,MDA (%)_std
"(1, 7, 13)",deepAR,1186.4967,104.6834,33.6667,3.2146,34.4923,28.7922,5.0269,2.5386,46213776.6045,22117399.0166,42.3133,1.1075
"(1, 7, 13)",dlinear,47.6633,9.6373,9.6667,2.0817,3.2545,0.0205,1.4216,0.0169,91072994.2440,6043162.6750,44.2733,1.2362
"(1, 7, 13)",nbeats,1200.6633,481.1752,14.3333,5.7735,5.4663,0.5169,1.7610,0.0980,101710503.7566,18868550.6227,46.7733,0.3402
"(1, 7, 13)",tft,1077.2867,124.6893,12.3333,1.5275,5.3890,1.0674,1.7797,0.1825,133442136.2875,11392571.0018,42.0567,0.4665
"(1, 7, 13)",tsmixer,238.2000,36.3051,18.6667,2.5166,2.4308,0.0177,1.1281,0.0055,49687226.1064,8787599.2333,45.9600,0.3081
"(2, 8, 14)",deepAR,1168.9833,382.7092,29.0000,9.5394,68.3547,58.4906,7.0818,3.7170,110203060.9300,126507664.3446,43.3000,0.5243
"(2, 8, 14)",dlinear,90.3700,14.8023,12.0000,2.0000,5.3339,0.0614,1.8312,0.0137,175347205.7903,2708930.0451,45.1033,0.6627
"(2, 8, 14)",nbeats,991.7833,94.5972,11.6667,1.1547,8.8246,1.1560,2.3107,0.1974,154449371.2012,11476357.0899,46.7700,0.2117
"(2, 8, 14)",tft,1027.2467,209.3481,9.0000,2.0000,8.0738,0.7278,2.1987,0.1844,162784285.8401,15046650.9873,42.2033,0.6245
"(2, 8, 14)",tsmixer,134.6400,29.1681,10.3333,2.3094,4.1791,0.0505,1.5741,0.0068,118799152.7731,2401003.8765,45.0700,1.0693
"(3, 9, 15)",deepAR,1326.3033,209.5595,37.6667,5.8595,61.4705,11.4002,6.2625,0.7631,24.5689,2.1328,38.0567,3.5503
"(3, 9, 15)",dlinear,63.7267,5.2231,13.3333,1.1547,24.4975,0.0537,3.8925,0.0014,14.5697,0.0190,34.1267,0.4594
"(3, 9, 15)",nbeats,1146.7900,125.3832,13.6667,1.5275,17.8464,2.0020,3.0720,0.1327,12.7119,0.5896,52.9233,1.2529
"(3, 9, 15)",tft,916.8467,366.2451,10.3333,4.5092,19.4158,0.9949,3.3146,0.0624,12.9172,0.3244,33.0967,0.5777
"(3, 9, 15)",tsmixer,315.5867,27.8046,25.3333,2.5166,12.5827,0.2116,2.5658,0.0228,9.3453,0.0882,48.7167,0.3420
"(4, 10, 16)",deepAR,2063.2500,445.4284,48.0000,15.7162,129.3775,144.7155,8.6738,5.8549,30.6341,19.0439,41.2633,2.8223
"(4, 10, 16)",dlinear,91.3367,5.9988,12.0000,1.0000,34.7185,0.1116,4.6787,0.0061,18.1517,0.0195,33.6833,1.2365
"(4, 10, 16)",nbeats,1892.8400,854.8361,17.6667,4.1633,30.8194,4.1786,4.1143,0.3235,17.5677,1.5650,54.8333,0.8041
"(4, 10, 16)",tft,1706.7767,1351.2884,11.0000,5.1962,42.3330,11.6194,5.0340,0.5989,19.9938,3.3834,32.1367,0.3213
"(4, 10, 16)",tsmixer,93.4233,22.6490,9.0000,1.0000,20.4861,0.2097,3.4438,0.0231,12.8856,0.0846,47.9500,0.4190
"(5, 11, 17)",deepAR,332.3367,90.7064,21.0000,5.5678,0.0002,0.0000,0.0103,0.0009,40738.6565,10704.6463,85.6733,1.4123
"(5, 11, 17)",dlinear,928.7267,205.6913,14.3333,3.2146,0.0001,0.0000,0.0063,0.0001,2899.7823,1416.9994,86.4767,0.3239
"(5, 11, 17)",tft,20496.2467,1593.2624,18.6667,1.5275,0.0001,0.0000,0.0066,0.0006,18884.4568,2986.2268,83.2367,1.1540
"(5, 11, 17)",tsmixer,555.1800,38.1349,29.3333,2.0817,0.0001,0.0000,0.0050,0.0001,16862.6452,5516.6662,85.2533,0.9001
"(6, 12, 18)",deepAR,407.3333,49.8810,19.3333,2.0817,0.0002,0.0001,0.0093,0.0009,29122.5634,3300.2174,85.5067,0.5393
"(6, 12, 18)",dlinear,1178.1933,258.3523,14.3333,3.2146,0.0001,0.0000,0.0055,0.0001,2926.4577,370.7510,86.8567,0.2511
"(6, 12, 18)",tft,33164.2467,18876.0178,29.0000,15.0000,0.0001,0.0000,0.0062,0.0005,19890.8702,3246.6003,85.0067,3.2699
"(6, 12, 18)",tsmixer,698.3633,57.2297,36.6667,3.0551,0.0001,0.0000,0.0046,0.0002,15854.3393,5145.6751,86.8700,0.2088
