Date,Open,High,Low,Close,Volume
01/02/1998,09:30,0.10251,0.10345,0.10157,0.10251,71337561
01/02/1998,10:00,0.10251,0.10533,0.10204,0.10533,97044207
01/02/1998,10:30,0.10486,0.11144,0.10345,0.10862,154492009
01/02/1998,11:00,0.10862,0.1105,0.10815,0.11003,78953813
01/02/1998,11:30,0.11003,0.11097,0.10909,0.11003,33774686
01/02/1998,12:00,0.1105,0.11473,0.11003,0.11332,55148043
01/02/1998,12:30,0.11332,0.1152,0.11285,0.11473,47598251
01/02/1998,13:00,0.1152,0.1152,0.11332,0.1152,28045885
01/02/1998,13:30,0.1152,0.11661,0.1152,0.11614,28604143
01/02/1998,14:00,0.11661,0.11943,0.11567,0.11567,59215359
01/02/1998,14:30,0.11614,0.11661,0.11426,0.11567,49126950
01/02/1998,15:00,0.11567,0.11896,0.11567,0.11849,41258019
01/02/1998,15:30,0.11802,0.12226,0.11755,0.12226,67416853
01/02/1998,16:00,0.12226,0.12226,0.12202,0.12226,3495767
01/05/1998,09:30,0.12414,0.12461,0.12273,0.12414,213509328
01/05/1998,10:00,0.12414,0.12414,0.1232,0.1232,92245817
01/05/1998,10:30,0.1232,0.12414,0.12131,0.12131,63987762
01/05/1998,11:00,0.12131,0.12178,0.11708,0.11943,82609723
01/05/1998,11:30,0.11943,0.12037,0.11896,0.12037,34465909
01/05/1998,12:00,0.12014,0.12037,0.11943,0.1199,23553255
01/05/1998,12:30,0.11943,0.12037,0.11943,0.1199,14740722
01/05/1998,13:00,0.11943,0.1199,0.11755,0.11802,29414985
01/05/1998,13:30,0.11802,0.11896,0.11661,0.11708,30624546
01/05/1998,14:00,0.11661,0.11708,0.11426,0.1152,46535361
01/05/1998,14:30,0.1152,0.11661,0.1152,0.11661,18116868
01/05/1998,15:00,0.11661,0.11755,0.11567,0.11708,28245300
01/05/1998,15:30,0.11708,0.12037,0.11661,0.12037,46947406
01/05/1998,16:00,0.11943,0.12037,0.11943,0.11943,1581736
01/06/1998,09:30,0.1199,0.12037,0.11802,0.11943,41112226
01/06/1998,10:00,0.11943,0.11943,0.11849,0.11896,22941809
01/06/1998,10:30,0.11896,0.11943,0.11849,0.11943,28032603
01/06/1998,11:00,0.11943,0.11943,0.11849,0.11849,9397371
01/06/1998,11:30,0.11849,0.11896,0.11755,0.11802,22955100
01/06/1998,12:00,0.11755,0.11943,0.11755,0.11896,13810278
01/06/1998,12:30,0.11896,0.11943,0.11097,0.11238,85759827
01/06/1998,13:00,0.11238,0.11614,0.11238,0.11567,55254533
01/06/1998,14:00,0.1152,0.15047,0.1152,0.14624,924788933
01/06/1998,14:30,0.14624,0.14671,0.14059,0.14388,404460618
01/06/1998,15:00,0.14388,0.14483,0.14059,0.142,203141602
01/06/1998,15:30,0.14153,0.14388,0.14106,0.14247,244040628
